"income","loan_size","collateral_value","city","LTV","PD"
6000,325100,371200,"IL.Chicago",0.875808189655172,0.0375005390377836
4000,537200,689500,"IL.Chicago",0.779115300942712,0.00771180277167416
4000,128300,161550,"MI.Detroit",0.794181367997524,0.0235057010145654
18000,482900,458000,"IL.Chicago",1.05436681222707,0.0266018226242592
4000,699900,476100,"CA.Los.Angeles",1.4700693131695,0.0652340690263579
14000,327500,514050,"MI.Detroit",0.637097558603249,0.0277992041118721
10000,243400,296450,"MI.Detroit",0.821049080789341,0.00509259094081871
10000,567300,836100,"IL.Chicago",0.678507355579476,0.0270784787786971
14000,516700,599000,"IL.Chicago",0.862604340567613,0.0379114053713751
18000,205300,196700,"IL.Chicago",1.04372140315201,0.0168155082114922
8000,775500,576700,"CA.Los.Angeles",1.34471995838391,0.0468150282217835
6000,104500,100950,"MI.Detroit",1.03516592372462,0.0294560118500072
10000,874700,852200,"CA.Los.Angeles",1.02640225299226,0.0305815086143026
6000,927200,632700,"CA.Los.Angeles",1.46546546546547,0.0270563124102896
8000,148600,292900,"IL.Chicago",0.507340389211335,0.013872294314285
10000,421100,370500,"IL.Chicago",1.13657219973009,0.0471230569033231
4000,552300,475450,"MI.Detroit",1.16163634451572,0.0424884588888952
14000,609200,621400,"IL.Chicago",0.980366913421307,0.0167282895434534
12000,502900,403800,"IL.Chicago",1.24541852402179,0.0466072615068627
18000,673200,620800,"IL.Chicago",1.08440721649485,0.024787971686553
4000,521100,828300,"IL.Chicago",0.629119884099964,0.022265794324151
14000,481700,614750,"MI.Detroit",0.783570557137048,0.0282733797360948
16000,757100,567900,"CA.Los.Angeles",1.33315724599401,0.00867924828370625
14000,910700,740400,"CA.Los.Angeles",1.23001080497029,0.0508923724005831
8000,391400,390750,"MI.Detroit",1.00166346769034,0.0240371934425143
12000,386200,433800,"IL.Chicago",0.890272014753342,0.0481091978564424
14000,507150,338100,"CA.Los.Angeles",1.5,0.0286210289457813
10000,771600,514400,"CA.Los.Angeles",1.5,0.00581726187374443
6000,288700,291100,"IL.Chicago",0.991755410511852,0.0186516613245292
10000,815400,983400,"CA.Los.Angeles",0.829164124466138,0.0097320780487472
12000,630200,565600,"CA.Los.Angeles",1.11421499292786,0.00476456662930437
16000,283800,329850,"MI.Detroit",0.860391086857663,0.0215191642499032
12000,464800,514600,"IL.Chicago",0.903225806451613,0.0174241872728049
2000,384300,436300,"IL.Chicago",0.880815952326381,0.0283983606017015
14000,395500,279100,"IL.Chicago",1.41705481906127,0.0361736334272247
8000,752500,694900,"IL.Chicago",1.08288962440639,0.0308302614084688
10000,629250,419500,"IL.Chicago",1.5,0.024863959643402
12000,314300,329250,"MI.Detroit",0.95459377372817,0.00856323562717333
8000,474300,316200,"IL.Chicago",1.5,0.061685916030114
8000,410800,443800,"IL.Chicago",0.925642181162686,0.0214148445835699
8000,565300,652100,"IL.Chicago",0.866891581045852,0.0209282057338212
8000,308175,205450,"MI.Detroit",1.5,0.0347728100954555
14000,427900,289700,"IL.Chicago",1.47704521919227,0.0410002093115168
4000,963300,642200,"CA.Los.Angeles",1.5,0.0108220648602583
8000,435000,441900,"IL.Chicago",0.98438560760353,0.0506418276119114
10000,472300,479050,"MI.Detroit",0.985909612775284,0.0133166637933367
10000,662250,441500,"CA.Los.Angeles",1.5,0.059936309850309
6000,154800,292400,"IL.Chicago",0.529411764705882,0.00809673248277965
10000,573900,382600,"CA.Los.Angeles",1.5,0.0607399943866767
10000,713300,879700,"IL.Chicago",0.810844606115721,0.0273515954250886
10000,725700,575000,"CA.Los.Angeles",1.26208695652174,0.0526174035312972
8000,476400,482500,"IL.Chicago",0.987357512953368,0.0475386625814625
16000,444900,296600,"IL.Chicago",1.5,0.0183463741946748
8000,769050,512700,"CA.Los.Angeles",1.5,0.0709737105178647
10000,458400,573200,"IL.Chicago",0.799720865317516,0.0114251450315542
10000,749500,1224700,"IL.Chicago",0.611986608965461,0.0324376256398769
6000,1032500,795200,"CA.Los.Angeles",1.29841549295775,0.049887240137663
6000,517600,409200,"IL.Chicago",1.26490713587488,0.040109784618309
